Category,Tender Description,Advertised,Cancelled
Disposals: General,"MEDICAL WASTE DISPOSAL SERVICES FOR PetroSA, MOSSEL BAY",04/03/2022,[object Object]
"Office administrative, office support and other business support activities",PROCUREMENT OF A VOICE RECORDER FOR SMALL MEETINGS,04/03/2022,[object Object]
Construction of buildings,Construction of Nursing College Kimberley Phase 2A,03/03/2022,[object Object]
"Water supply; sewerage, waste management and remediation activities",SUPPLY AND DELIVERY OF CAST IRON BALL VALVES ( SAVER TAPS),03/03/2022,[object Object]
"Water supply; sewerage, waste management and remediation activities",SUPPLY AND DELEVERY OF DRAIN RODS,03/03/2022,[object Object]
"Water supply; sewerage, waste management and remediation activities",SUPPLY AND DELIVERY OF FIRE RESISTANT SAFE,03/03/2022,[object Object]
"Water supply; sewerage, waste management and remediation activities",supply and delivery of manhole covers,03/03/2022,[object Object]
Administrative and support activities,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE RENTAL OF 100 NOTEBOOKS FOR THE DURATION OF FIVE (5) MONTHS (JANUARY 2022 – MAY 2022) AT SABC,03/03/2022,01/01/1
Repair and installation of machinery and equipment,"INVITATION FOR SUPPLY, INSTALL AND PAINT CHROMADEK SHEET FOR AURORA-JUNO COINTAINER",03/03/2022,[object Object]
Construction of buildings,Notice of Cancellation: Phase Two Construction and Refurbishment of the iSimangaliso’s Dredger Harbour Offices in the St Lucia Section of the iSimangaliso Wetland Park.,02/03/2022,[object Object]
Other service activities,Installation of Billboard at Midmar Nature Resort,02/03/2022,[object Object]
Construction,PORT ELIZABETH: KWADWESI P[OLICE COMPLEX: INSTALLATION OF 1 X 10 000 LITRE WATER TANK WITH PUMPS.,01/03/2022,[object Object]
Information service activities,Appointment of a Service Provider for ISP and Remote Access Services for Armscor,01/03/2022,[object Object]
Supplies: Electrical Equipment,RE-TENDER THE APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF NEW LAPTOPS AND ACCESSORIES FOR A PERIOD OF THIRTY SIX (36) MONTHS ON AN ‘AS AND WHEN REQUIRED BASIS FOR ERWAT,01/03/2022,[object Object]
Other service activities,Provision of Personal Credentials Verification for Legal Aid SA for a period of three (3) years,01/03/2022,[object Object]
"Electricity, gas, steam and air conditioning","Cancellation - Supply and delivery of 1x Doble Machine and 2x Infra-red cameras at Westville, Transmission Division",01/03/2022,01/01/1
Supplies: General,Supply and delivery of Hikvision face recognition/card access control (ARC-ITSC) Nelspruit Mbombela,01/03/2022,[object Object]
Supplies: Computer Equipment,Supply and Delivery of Computers,01/03/2022,[object Object]
Supplies: Clothing/Textiles/Footwear,UNIFORM FOR TRAFFIC OFFICIALS,01/03/2022,[object Object]
Information and communication,IT2022-BID/003 - PROVISION OF IT SERVICES,28/02/2022,[object Object]
Supplies: General,Leasing of office accommodation and parking bays for the Department of Education Head Office in Johannesburg CBD for a period of 4 years and 11 months: 10 722 m2 and 411 parking Bays.,25/02/2022,[object Object]
Services: General,DID MONTHLY MAINTENANCE SERVICES OF LIFTS AND ESCALATORS CLUSTERS IN VARIOUS INSTITUTIONS FOR A PERIOD OF 3 YEARS (36 MONTHS),25/02/2022,[object Object]
Services: Professional,"Appointment of an Advisory Services for the Research, Automation of market price data solution analysis and development for a period of 36 months",25/02/2022,[object Object]
Services: General,"INVITATION OF SERVICE PROVIDER(S) TO UPGRADE, INTEGRATE AND MAINTAIN THE CURRENT UNIFY (VOICE PLATFORM AND CENTRALISED PROTEUS TELEPHONE MANAGEMENT SYSTEM (TMS) AT THE GAUTENG DEPARTMENT OF EDUCATION (GDE) HEAD OFFICE, DISTRICT OFFICES AND DISTRICT TEACHER DEVELOPMENT CENTRES FOR A SPECIFIC TERM PERIOD OF THREE (3) YEARS",25/02/2022,[object Object]
Services: Professional,SUPPLY AND DELIVERY OF DIGNITY PACKS TO IDENTIFIED SCHOOLS IN GAUTENG,25/02/2022,[object Object]
Services: General,"Supply, Delivery, Installation and Commissioning of Lifts at 1 Villa Heidi Residence, Germiston",25/02/2022,[object Object]
Services: General,"Supply, Delivery, Installation and Commissioning of 2 Lifts & 3 Dumb Waiters at Chris Hani Baragwanath Hospital.",25/02/2022,[object Object]
Services: General,"Supply, Delivery, Installation and Commissioning of 1 x Lift at Rahima Moosa Hospital",25/02/2022,[object Object]
Services: General,"Supply, Delivery, Installation and Commissioning of 1 x Pharmacy Goods Lift for Dr Yusuf Dadoo",25/02/2022,[object Object]
Services: General,"Supply, Install & Commission FOS YSTEM THE PILOT OF THE FIBRE OPTIC SENSING TO DETECT AND PREVENT THE SIGNAL CABLE THEFT AT CAPE TOWN IN THE WESTERN CAPE",25/02/2022,[object Object]
Other manufacturing,"Bid for the supply of preventative and corrective maintenance, as well as support, for the Mediso nanoScan SPECT/CT and Mediso PrepaCell operated at the NuMeRI Preclinical Imaging Facility",25/02/2022,[object Object]
Scientific research and development,Bid for In Service Inspection for the SAFARI-1 reactor vessel assembly (welded joints),25/02/2022,[object Object]
Supplies: Computer Equipment,"Supply and delivery of ICT equipment and assessories to the NSG, 20 Greef Street, Trevena, Sunnyside",25/02/2022,[object Object]
Services: Professional,APPOINTMENT OF SERVICE PROVIDERS TO RENDER TRAINING AND MENTORING AND COACHING PROGRAMME AS ER THE SAQA UNIT STANDARDS: 117874; 117865 AND 263976 FOR A PERIOD OF THIRTY SIX (36) MONTHS ON ‘AS AND WHEN REQUIRED’ BASIS,25/02/2022,[object Object]
Supplies: General,Supply and Delivery of Water Purification Material to Hantam Municipality for a period of 36 months (Contract Period: 01 July 2022 - 30 June 2025),25/02/2022,[object Object]
Other service activities,APPOINTMENT OF PROFESSIONAL SERVICE PROVIDERS TO CONDUCT ENVIRONMENTAL IMPACT ASSESSMENTS (EIA) FOR ZONE 10 NORTH and SOUTH POWER PLANTS & THE GAS ASSOCIATED INFRASTRUCTURE WITHIN THE COEGA SPECIAL ECONOMIC ZONE (SEZ) AND PORT OF NGQURA (PoN),25/02/2022,[object Object]
Construction,"Refurbishment of Lehurutshe Hospital Phase 2 in Ramotshere Moiloa Local Municipality, Ngaka Modiri Molema District, North West Province, Grade 7GB or Higher",25/02/2022,[object Object]
Wholesale and retail trade and repair of motor vehicles and motorcycles,"APPOINTMENT OF CLUSTER OF SERVICE PROVIDERS FOR REPAIRS AND MAINANTENANCE OF MUNICIPAL FLEET, PLANT AND EQUIPMENT (36-month Contract)",25/02/2022,[object Object]
Construction,FOR THE CONSTRUCTION MANAGEMENT AND TRAINING OF COMMUNITY DEVELOPMENT PROJECT ALONG TO THE N2-SECTION 18 BETWEEN VIEDEGESVILLE (km 65.5) AND MTHATHA (km 78.8).,25/02/2022,[object Object]
Legal and accounting activities,APPOINTMENT OF A SUITABLE AND EXPERIENCED PANEL OF LEGAL SERVICE PROVIDERS TO RENDER LEGAL SERVICES TO THE QUALITY COUNCIL FOR TRADES AND OCCUPATIONS (QCTO) FOR A PERIOD OF THIRTY - SIX (36) MONTHS,25/02/2022,[object Object]
"Water collection, treatment and supply",PANEL OF WATER TREATMENT CHEMICALS SUPPLIERS FOR LEPELLE NORTHERN WATER OPERATED WATER AND WASTEWATER PLANTS,25/02/2022,[object Object]
Transportation and storage,APPOINTMENT OF A SERVICE PROVIDER TO RELOCATE ASSETS AND EQUIPMENT TO THE NEW BUILDING AND VARIOUS LOCATIONS OF JOHANNESBURG WATER,25/02/2022,[object Object]
Construction,KIMBERLEY KENNILWORTH: Upgrading of security and fence.,25/02/2022,[object Object]
Accommodation,KIMBERLEY DEPARTMENT OF CO-OPERATIVE GOVERNANCE MUNICIPAL INFRASTRUCTURE SUPPORT. New office accommodation 148.30m² and 08 parking bays,25/02/2022,[object Object]
Services: General,FOR THE PROVISION OF SERVICES FOR THE SUPPLY AND DELIVERY OF RUDDER STOCK FOR THE TRAILER SUNCTION HOPPER DREDGER ISANDLWANA “ONCE-OFF”,25/02/2022,[object Object]
Services: Professional,"Specialist Coastal Engineering Input to the Site Analysis and Design Parameters for Sandbaai Beach, Hermanus",25/02/2022,[object Object]
Manufacturing,"Manufacture, Supply and Deliver Mobile Pavilions to Mount Pleasant Sportsgrounds in Hermanus",25/02/2022,[object Object]
Services: General,Purchasing of Winch and Winch Brackets for Law Enforcement Vehicles as a safety measure.,25/02/2022,[object Object]
Services: General,Purchasing of Winch and Winch Brackets for Law Enforcement Vehicles as a safety measure.,25/02/2022,[object Object]
Services: General,Purchasing of Winch and Winch Brackets for Law Enforcement Vehicles as a safety measure.,25/02/2022,[object Object]
Services: General,Purchasing of Winch and Winch Brackets for Law Enforcement Vehicles as a safety measure.,25/02/2022,[object Object]
Services: General,Purchasing of Winch and Winch Brackets for Law Enforcement Vehicles as a safety measure.,25/02/2022,[object Object]
Rental and leasing activities,PROVISION OF RENTAL TABLET DEVICES FOR POP-UP TRAINING LABS FOR 36 MONTHS,25/02/2022,[object Object]
Transportation and storage,APPOINTMENT OF A SERVICE PROVIDE TO RELOCATE ASSETS AND EQUIPMENT TO THE NEW BUILDING AND VARIOUS LOCATIONS OF JOHANNESBURG WATER,25/02/2022,[object Object]
Services: Professional,"INVESTIGATION POSSIBLE IRREGULAR, FRUITLESS AND WASTEFUL EXPENDITURE FOR PERIOD 2017/2018; 2018/2019 AND 2019/2020: OFFICE OF THE PREMIER",25/02/2022,01/01/1
Security and investigation activities,FOR THE PROVISION OF SECURITY SERVICES FOR THE SAFA TRANSNET FOOTBALL SCHOOL OF EXECELLENCE FOR A PERIOD OF THREE (3) YEARS.,25/02/2022,[object Object]
Services: General,APPOINTMENT OF SERVICE PROVIDER TO PROVIDE HYGIENE SERVICES FOR THE CCMA EAST LONDON OFFICE FOR A PERIOD OF 11 MONTHS ON A MONTH TO MONTH BASIS,25/02/2022,[object Object]
Services: General,APPOINTMENT OF SERVICE PROVIDER TO PROVIDE CLEANING SERVICES FOR THE CCMA EAST LONDON OFFICE FOR A PERIOD OF 11 MONTHS ON A MONTH TO MONTH BASIS,25/02/2022,[object Object]
Services: General,Supply and delivery diameter green Heliflex or kanafles hoses for Darvil,25/02/2022,[object Object]
Other service activities,Refurbishment of 12mm thick and 170 m long life line at Midmar ww.,25/02/2022,[object Object]
Services: General,Supply and delivery DN 300mm diameter PN 25 and 200mm diameter PN 16 Electromagnetic Inline Flowmeters with accessories.,25/02/2022,[object Object]
Supplies: Electrical Equipment,"TENDER 06/2022: ELECTRIFICATION OF 172 FORMAL HOUSES AT NKQUBELA, ROBERTSON",25/02/2022,[object Object]
Services: Professional,Appointment of facilitator for IYM strategic session,24/02/2022,[object Object]
Supplies: General,"APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY, DELIVERY, INSTALLATION, DECOMMISSIONING, COMMISSIONING AND SUPPORT OF A FIRE SUPPRESSION AND DETECTION SYSTEM AT (KING SHAKA INTERNATIONAL AIRPORT) FALE RADAR SITE FOR A PERIOD OF FIVE (5) YEARS.",24/02/2022,[object Object]
Supplies: General,SUPPLY AND DELIVERY OF M30 MILD STEEL PLAIN NUTS,24/02/2022,[object Object]
Services: General,Supply and Installation of LED Efficient Lighting at Sibonile Primary School for the Visually Impaired,24/02/2022,[object Object]
Supplies: General,SUPPLY AND DELIVERY OF COMMUTOR STONE,24/02/2022,[object Object]
Services: General,Supply and Installation of LED Efficient Lighting at Sibonile Primary School for the Visually Impaired,24/02/2022,[object Object]
Other service activities,APPOINTMENT OF A SERVICE PROVIDER FOR PROVISION OF PEST CONTROL MANAGEMENT SERVICES AT VARIOUS PRASA STATIONS AND FACILITIES WITHIN WESTERN CAPE REGION FOR A PERIOD OF 36 MONTHS,24/02/2022,[object Object]
Services: General,"Provision for battery room inspection (hazardous locations) installations, assessments and inspections.",24/02/2022,01/01/1
Real estate activities,"AUCTIONEER TO SELL A RESIDENTIAL PROPERTY AT 63 SISSON STREET (T685/1993), FORT GALE, UMTATA",24/02/2022,[object Object]
Manufacturing,REPAIR OF ENGINES CRANKSHAFT AND CRANKCASES FOR A PERIOD 3 YEARS,24/02/2022,[object Object]
Security and investigation activities,Provision of Aerial Surveillance and Response at Tutuka Power Station for a period of 3 years,24/02/2022,[object Object]
Administrative and support activities,SUPPLY AND DELIVERY OF TELESCOPIC FIBRE GLASS LINK STICKS 9.25M 11KV COMPLETE WITH ALL FITTINGS AND CARRY BAG,24/02/2022,[object Object]
Administrative and support activities,SUPPLY AND DELIVERY OF TELESCOPIC FIBRE GLASS LINK STICKS 9.25M 11KV COMPLETE WITH ALL FITTINGS AND CARRY BAG,24/02/2022,[object Object]
Services: Professional,APPOINTMENT OF SERVICE PROVIDER(S) TO RENDER PROJECT MANAGEMENT SERVICES FOR THE EMPLOYMENT OF 2451 COMMUNITY MEMBERS IN LIMPOPO AND EASTERN CAPE PROVINCES TO PARTICIPATE IN THE BIODIVERSITY ECONOMY – SUPPORT FOR 19 TRADITIONAL AUTHORITIES PROJECT AS PART OF THE PRESIDENTIAL ECONOMIC STIMULUS PACKAGE FOR A DURATION OF SIX (6) MONTHS,24/02/2022,[object Object]
Services: Functional (Including Cleaning and Security Services),"APPOINTMENT OF THE SUITABLE SERVICE PROVIDER TO PROVIDE PHYSICAL SECURITY SERVICES AT KZN DEPARTMENT OF ECONOMIC DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS (EDTEA): HEAD OFFICE, CASCADES, MINISTRY, TOURISM, HARRY GWALA, UGU, ETHEKWINI, ILEMBE, KING CETSHWAYO, MTUBATUBA, MKUZE, ZULULAND, UMZINYATHI, AMAJUBA AND UTHUKELA DISTRICT OFFICES FOR THE PERIOD OF 36 MONTHS",24/02/2022,[object Object]
Information and communication,"5 Year Supply, Commissioning, Support and Licencing Agreement of Quantum SAN Solution for Armscor",24/02/2022,[object Object]
Civil engineering,DRMS: Phase 5: Emergency and ad-hoc property investigations in support of the dolomite risk management strategy for the properties of the national department of public works,24/02/2022,[object Object]
Supplies: Electrical Equipment,APPOINTMENT OF A SERVICE PROVIDERS FOR THE SUPPLY AND DELIVER OF MOBILE STANDBY POWER GENERATORS IN CAPE TOWN,24/02/2022,[object Object]
Security and investigation activities,"Provision of Security Threat (Crime, Instability) Information Collection and Analysis to Eskom Holdings SOC Ltd for a period one (1) year",24/02/2022,[object Object]
Security and investigation activities,"Provision of Security Threat (Crime, Instability) Information Collection and Analysis to Eskom Holdings SOC Ltd for a period one (1) year",24/02/2022,[object Object]
Services: General,Review and Update Fire Sprinkler Systems Block Plans and Assessment of Fire Water Pumps & Sprinkler systems to address the Risk Improvement identified by ACSA insurer's,24/02/2022,[object Object]
Accommodation,Provision of office accommodation in respect of De Aar Satellite Office for a period of 5 years.,23/02/2022,[object Object]
"Travel agency, tour operator, reservation service and related activities",Appointment of a Travel Agency for Hantam Municipality for a period of 36 months (Contract Period: 01 July 2022 - 30 June 2025),23/02/2022,[object Object]
Supplies: General,"SUPPLY AND DELIVERY OF 316 STAINLESS STEEL BOLTS, NUTS AND WASHERS FOR THE TANKER BASIN FIREFIGHTING SYSTEM AT THE PORT OF CAPE TOWN",23/02/2022,[object Object]
Services: General,"FOR THE SUPPLY/PROVISION OF: SERVICES FOR THE REMOVAL OF HAZARDOUS, GENERAL AND DOMESTIC WASTE WITHIN THE PORT OF CAPE TOWN FOR A PERIOD OF SIX (6) MONTHS",23/02/2022,[object Object]
Disposals: General,ASSET DISPOSAL – AUCTIONING OF OBSOLETE ASSETS (FURNITURE),23/02/2022,[object Object]
Services: Civil,RE-ADVERT: CONSTRUCTION OF BLOCK PAVED ROADS AND STORMWATER IN ZAMDELA TOWNSHIP WARD 10 PHASE 2,23/02/2022,[object Object]
Supplies: Stationery/Printing,Supply and Delivery of Signage Material,23/02/2022,[object Object]
Other service activities,BID FOR THE APPOINTMENT OF APANEL OF ATTORNEYS TO PROVIDE MIDVAAL LOCAL MUNICIPALITY WITH SUCH LEGAL SERVICES ON AN AS AND WHEN REQUIRED BASIS FROM 1ST JULY 2022 TO 30 JUNE 2025,23/02/2022,[object Object]
Financial and insurance activities,APPOINTMENT OF A SUITABLE SERVICE PROVIDER TO PROVIDE BUSINESS INSURANCE FOR CATHSSETA OFFICES FOR A PERIOD OF THREE (3) YEARS,23/02/2022,[object Object]
Services: Electrical,"TENDER NO MN175/2021 - DESIGN, MANUFACTURING, FACTORY ACCEPTANCE TESTING, DELIVERY, OFFLOADING, INSTALLATION, SITE TESTING AND COLD COMMISSIONING OF THREE 20MVA 33/11KV POWER TRANSFORMERS FOR KWADUKUZA MUNICIPALITY SAPPI SUBSTATION: SEE KDM WEBPAGE OR CIDB FOR S/M AND DOC CLARITY",23/02/2022,[object Object]
Security and investigation activities,APPOINTMENT OF PROFESSIONAL SERVICE PROVIDE FOR PROVISION OF PHYSICAL SECURITY FOR MUNICIPAL FACILITIES FOR A PERIOD OF 36 MONTHS (Re-Advert),23/02/2022,[object Object]
Construction of buildings,APPOINT A SERVICE PROVIDER FOR THE SUPPLY AND RENDERING OF SERVICE FOR THE INSTALLATION OF STOCK WATERING SYSTEM AND WATER INFRASTRUCTURE SUPPORT FOR THE THEMBELIHLE SMALL SCALE FARMERS AT MIDDLEPOST IN THE SALDANHA BAY MUNICIPAL DISTRICT.,23/02/2022,[object Object]
Other personal service activities,ASEZCO ORGANISATIONAL DESIGN REVISION,23/02/2022,[object Object]
Services: General,APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF A FIRE ENGINE,23/02/2022,[object Object]
Supplies: Computer Equipment,Supply and Delivery of Laptops and Tablets,22/02/2022,[object Object]
Services: Professional,REQUEST FOR PROPOSAL FOR A PROJECT OF LEAK DETECTION ON RAND WATER PIPELINES USING SATELLITE TECHNOLOGY FOR A DURATION OF 2 YEARS,22/02/2022,[object Object]
Other service activities,Supply and delivery of laboratory consumables used in the analysis for the detection of bacteria (Total coliform and E. coli) and protozoan parasites (Cryptosporidium and Giardia) on a five-year contract,22/02/2022,[object Object]
Administrative and support activities,FFC/01/BID/2021/22 REQUEST FOR PROPOSAL FOR PROVISION OF INTERNAL AUDIT SERVICES FOR A PERIOD OF 36 MONTHS,22/02/2022,01/01/1
Construction,RW10395951/22(R) TENDER FOR WORK PACKAGE ONE (1) - CONSTRUCTION OF TWO FILTER SAND STORAGE FACILITIES WORKS AREA 1 AND WORKS AREA 2 AND WORK PACKAGE TWO (2) - MODIFY MAINTENANCE T&P STORE WORKS AREA 2 AT ZUIKERBOSCH PUMPING STATION. MINIMUM CIDB CONTRACTOR GRADING FOR THIS BID: 7CE OR HIGHER.,22/02/2022,[object Object]
Construction,Kouga Municipality 2nd 66kV Feeder Bay Project.,22/02/2022,[object Object]
Services: Professional,"APPOINTMENT OF PROFESSIONAL SERVICE PROVIDER FOR THE DEVELOPMENT OF GUIDELINES ON THE COMPILATION OF AN ORGANISATIONAL COMPETENCY FRAMEWORK FOR PUBLIC SERVICE DEPARTMENTS BID AWARDED TO: PricewaterhouseCoopers Inc- Contract amount R2,617,047.00 Duration of Contract : 30 November 2022 Preference points Claimed : 20 ;",22/02/2022,[object Object]
Other service activities,"supply, delivery of outdoor branding (gazebos)",22/02/2022,[object Object]
Services: General,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY A RADIO TRANSMITTER AND THE MAINTENANCE OF AN ALARM SYSTEM INCLUDING ARMED RESPONSE SERVICES AT THE CCMA EAST LONDON OFFICE ON A MONTH TO MONTH BASIS NOT EXCEEDING 11 MONTHS,22/02/2022,[object Object]
Other service activities,Proposals are requested from Multi Disciplinary teams to undertake to develop and Eco - Park for a bio - mass factory and Leather skills training facility - Mbali Pietermaritzburg,21/02/2022,[object Object]
Civil engineering,"N.002-250-2020/1S : FOR CONSULTING ENGINEERING SERVICES FOR THE ADMINISTRATION AND CONSTRUCTION MONITORING FOR THE UPGRADE OF NATIONAL ROUTE 2, SECTION 25, FROM UMGENI INTERCHANGE (KM 20.72) TO SOUTH OF THE MOUNT EDGECOMBE INTERCHANGE (KM 30.45)",21/02/2022,[object Object]
Supplies: Clothing/Textiles/Footwear,"SUPPLY AND DELIVERY OF BRANDED ROAD SAFETY THEMED PROMOTIONAL ITEMS: LUNCH/COOLER BOX, ECO FRIENDLY SHOPPER BAG AND LEARNER PEAK CAPS",21/02/2022,01/01/1
Services: Professional,ACCOUNTING SERVICES: REVIEW THE ANNUAL FINANCIAL STATEMENTS AND PROVIDE THE CAPE WINELANDS DISTRICT MUNICIPALITY WITH ADVICE,21/02/2022,01/01/1
Services to buildings and landscape activities,INSTALLATION OF SPRINKLER SYSTEMS AT RURAL SPORT FACILITIES,21/02/2022,01/01/1
Supplies: General,Cleaning services,21/02/2022,[object Object]
Specialised construction activities,REQUEST FOR PROPOSAL (RFP) FOR THE PROVISION OF FIVE (5) 3SO OR HIGHER GENERAL PLUMBING AND DRAINAGE MAINTENANCE WORK CONTRACTORS ON AS AND WHEN BASIS FOR A PERIOD OF 36 MONTHS IN SOUTH GAUTENG REGION.,21/02/2022,[object Object]
Supplies: Computer Equipment,SUPPLY AND DELIVERY OF 25X LAPTOPS AND 20GB DATA TOP UP BOTH ON A 24 MONTHS CONTRACT + OFFICE 365 WITH LICENSE,21/02/2022,[object Object]
Administrative and support activities,A PANEL OF SERVICE PROVIDER FOR CREATIVE AGENCIES FOR A PERIOD OF TWELVE (12) MONTHS,21/02/2022,01/01/1
Administrative and support activities,THE APPOINTMENT OF A MEDIA BUYING AGENCY TO ASSISTSABC IN AMPLIFYING BRAND CAMPAIGNS FOR A PERIOD A PERIOD OF TWELVE (12) MONTHS,21/02/2022,01/01/1
Supplies: Computer Equipment,SUPPLY AND DELIVERY OF DESKTOP COMPUTERS AND LAPTOPS,21/02/2022,01/01/1
Security and investigation activities,"Provision of Security Threat (Crime, Instability) Information Collection and Analysis to Eskom Holdings SOC Ltd for a period one (1)",21/02/2022,01/01/1
Construction,Refurbishment of Manguzi Wastewater Treatment Works in UMkhanyakude District Municipality,21/02/2022,[object Object]
Construction,RW10395627/22– TENDER FOR THE CONSTRUCTION OF THE STOCKPILE AREA AND REHABILITATION OF DRYING BEDS AT PANFONTEIN SITE. MINIMUM CIDB CONTRACTOR GRADING FOR THIS BID: 9CE OR HIGHER,21/02/2022,[object Object]
Construction,"MANUFACTURE, SUPPLY, DELIVERY, INSTALLATION, TEST, COMMISSION, OPERATE AND MAINTAIN A VAAL BARRAGE BRIDGE",21/02/2022,[object Object]
Construction,RW10396648/22– TENDER FOR THE CONSTRUCTION OF EMBANKMENT STABILISATION PROTECTION AT INTAKE 1 AT ZUIKERBOSCH PUMPING STATION. MINIMUM CIDB CONTRACTOR GRADING FOR THIS BID: 7ME OR HIGHER,21/02/2022,[object Object]
"Computer programming, consultancy and related activities",PROVISION OF AN INTEGRATED REGULATORY SOLUTION FOR THE FSCA,21/02/2022,[object Object]
Manufacture of machinery and equipment n.e.c.,Request for lift equipment,21/02/2022,[object Object]
Construction,RENOVATION OF THE EXISTING MALES & FEMALES ABLUTION FOR BON ACCORDE CAMPSITE,21/02/2022,[object Object]
"Manufacture of motor vehicles, trailers and semi-trailers",SUPPLY AND DELIVERY OF FULLY FITTED STEEL TANK HONEY SUCKER TRAILER AT MSINSI SITE HAZELMERE DAM,21/02/2022,[object Object]
Construction,APPOINTMENT OF CONTRACTOR FOR CONSTRUCTION OF NEW MOKALA PRIMARY SCHOOL ON BEHALF NORTH WEST DEPARTMENT OF EDUCATION,21/02/2022,[object Object]
Construction,APPOINTMENT OF CONTRACTOR FOR CONSTRUCTION OF ADDITIONAL LEARNING AREAS AND RENOVATIONS OF EXISTING INFRASTRUCTURE AT GASEITSIWE HIGH SCHOOL ON BEHALF NORTH WEST DEPARTMENT OF EDUCATION,21/02/2022,[object Object]
Construction,"DESIGN, MANUFACTURE, SUPPLY, DELIVERY, INSTALLATION, COMMISSIONING AND PUTTING INTO SERVICE OF AN ELECTRICAL & SMALL POWER AND LIGHTING INSTALLATION AND ASSOCIATED WORKS AT THE VEREENIGING CATHEDRAL HEADER AND ENGINE ROOM 4 VALVE ISOLATION CHAMBERS AT VEREENIGING PUMPING STATION",21/02/2022,[object Object]
Construction,"DESIGN, MANUFACTURE, SUPPLY, DELIVERY, INSTALLATION, COMMISSIONING AND PUTTING INTO SERVICE OF AN ELECTRICAL & SMALL POWER AND LIGHTING INSTALLATION AND ASSOCIATED WORKS AT THE VEREENIGING CATHEDRAL HEADER AND ENGINE ROOM 4 VALVE ISOLATION CHAMBERS AT VEREENIGING PUMPING STATION",21/02/2022,[object Object]
Security and investigation activities,RW10398318/22 – REQUEST FOR THE PROVISION OF PHYSICAL SECURITY SERVICES (GUARDING AND PATROLS) FOR WATER AND SANITATION INFRASTRUCTURE AT EMFULENI LOCAL MUNICIPALITY REGIONS (TWO) FOR A PERIOD OF 36 MOTNHS.,21/02/2022,[object Object]
Construction,APPOINTMENT OF CONTRACTOR FOR CONSTRUCTION OF ADDITIONAL LEARNING AREAS AND RENOVATIONS OF EXISTING INFRASTRUCTURE AT GOAKGANYA PRIMARY SCHOOL ON BEHALF NORTH WEST DEPARTMENT OF EDUCATION.,21/02/2022,[object Object]
Civil engineering,"RW10397155/22 EARTHWORKS, PIPE LAYING, JACKING AND ASSOCIATED WORKS FOR PANFONTEIN SLUDGE PIPELINES (PANFONTEIN PROJECTS PACKAGES 3A AND 3B): PACKAGE 3A - THE SECOND PHASE OF THE SLUDGE PIPELINE FROM VEREENIGING PUMP STATION TO THE VAAL RIVER BRIDGE CROSSING AT MACCAUVLEI PACKAGE 3B – ZUIKERBOSCH SLUDGE PIPELINE AND CROSS CONNECTIONS FROM CENTRAL SLUDGE NO. 2 TO THE CROSS CONNECTION CHAMBER MINIMUM CIDB CONTRACTOR GRADING FOR THIS BID: 9CE",21/02/2022,[object Object]
Security and investigation activities,Provision of Security Security,18/02/2022,[object Object]
Services: Functional (Including Cleaning and Security Services),Provisioning of Security (Guarding) Services for immovable properties at Head Office and Regional Offices for 36 Months,18/02/2022,[object Object]
Services: Professional,"THE SUPPLY, DELIVERY, INSTALLATION, COMMISSIONING AND MAINTENANCE OF IMAGING RADIOLOGY EQUIPMENT ITEMS TO THE VARIOUS INSTITUTIONS FOR A PERIOD OF THREE YEARS",18/02/2022,[object Object]
Other service activities,RENEWAL OF TREND MICRO ANTIVIRUS LICENCES FOR A PERIOD OF 3 YEARS WITH SOFTWARE MAINTENANCE AND SUPPORT,18/02/2022,[object Object]
Services: Professional,"THE SUPPLY, DELIVERY AND INSTALLATION OF PARK HOMES, GUARD HOUSES, PALISADE FENCES AND WATER SYSTEM UNITS AT VARIOUS GAUTENG HEALTH INSTITUTIONS FOR THE PERIOD OF THREE YEARS",18/02/2022,[object Object]
Supplies: Computer Equipment,SUPPLY AND DELIVERY OF 205 LAPTOPS FOR PERIOD OF TWELVE (12) MONTHS,18/02/2022,[object Object]
Supplies: General,RENDERING OF CATERING SERVICES AT IGUGULETHU CHILD AND YOUTH CARE CENTRE,18/02/2022,[object Object]
Services: General,THE APPOINTMENT OF A SERVICE PROVIDER TO RENDER PHYSICAL SECURITY SERVICES FOR THE GAUTENG GAMBLING BOARD FOR 36 MONTHS,18/02/2022,[object Object]
Services: General,CLEANING SERVICES AT FORENSIC PATHOLOGY SERVICES FACILITIES FOR THE PERIOD OF THREE (3) YEARS,18/02/2022,[object Object]
Services: Professional,"TERMS OF REFERENCE OR SUPPLY AND INSTALLATION OF TOUCHLESS ACCESS CONTROL AND THERMAL SCREENING SYSTEM, REPAIR, REPLACEMENT AND MAINTENANCE OF GDED SURVEILLANCE CAMERAS.",18/02/2022,[object Object]
Services: General,Develop a sector specific scorecard for a verification certificate that are specific to the sector and aligned with the bespoke scorecard while being aligned with the Generic Codes of Good Conduct in terms of the BBBEE Act - KFWWP06,18/02/2022,[object Object]
