category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
Information and communication,H004L2503OTH00260,BORDER MANAGEMENT AUTHORITY (BMA) INVITES ACCREDITED SERVICE PROVIDERS TO RESPOND TO THE REQUEST FOR PROPOSAL (RFP) FOR A PANEL FOR THE REBRANDING OF PORTS OF ENTRY FOR THREE (3) YEARS,20/08/2025,25/09/2025,,,
Supplies: General,E1732GXGPLET,Supply and Delivery of 4(four)x Gate for Valve Once Off to Lethabo power station,20/08/2025,30/09/2025,,,
"Electricity, gas, steam and air conditioning",CTIA79242025RFP,APPOINTMENT OF CONTRACTOR TO SUPPLY AND INSTALL AIR CONDITION VRV AND SPLIT UNITS FOR PASSENGER LOADING BRIDGES FOR PERIOD OF EIGHT (8) MONTHS AT CAPE TOWN INTERNATIONAL AIRPORT,20/08/2025,22/09/2025,,,
Information service activities,SAMRC/ITSD-PMSH/2025/11,"Pro-Active Alerting, Monitoring, Reporting, Managed Services, and Procurement of Storage-Related Hardware",20/08/2025,19/09/2025,,,
Construction,FIN-SCM-TEN-0136,"Bid to the construction, installation, testing, and commissioning of the emergency cooling water collection for the smelter system and facility at NECSA Area 26.",20/08/2025,26/09/2025,,,
Information and communication,AGRISETA/2025/02,"APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF MICROSOFT AZURE CLOUD HOSTING & REMOTE SERVER BACKUP FOR A PERIOD OF THIRTY- SIX (36) MONTHS, WITH AN OPTION TO RENEW FOR FURTHER TWENTYFOUR (24) MONTHS BASED ON AGRISETA’S SOLE DISCRETION",20/08/2025,29/09/2025,,,
Construction,FIN-SCM-TEN-0137,Bid to construct an off-loading bund facility for Low Active (LA) effluent at the P2400 LA Effluent Treatment Facility (LAETF),20/08/2025,26/09/2025,,,
Financial and insurance activities,RFP 22/2025,Appointment of a Group Life Insurer for a period of sixty (60) months,20/08/2025,23/09/2025,,,
Rental and leasing activities,TMNP087/2025-26,APPOINTMENT OF A SERVICE PROVIDER FOR LETTING OF TWO (2) TOURISM RETAIL KIOSK SPACES AT THE TABLE MOUNTAIN LOWER CABLE STATION FOR A PERIOD OF 36 MONTHS ENDING NOVEMBER 2028,20/08/2025,26/09/2025,,,
Supplies: Electrical Equipment,E1378GXMPCAMP,Publication of Names of Bidders: The provision of maintenance and refurbishment of all HV and LV motors for a period of 60 months for Camden Power Station,20/08/2025,22/09/2025,,,
Supplies: General,E1726GXMPMAJ,Supply and Delivery of Mill Windbox Liners Spares at Majuba Power Station for 60 months,20/08/2025,02/10/2025,,,
Security and investigation activities,RAF/2025/00029,"THE ROAD ACCIDENT FUND (RAF) REQUIRES AN ACCREDITED BIDDER TO DESIGN, SUPPLY, INSTALL, COMMISSION AND MAINTAIN THE INTEGRATED SECURITY SYSTEMS OF CCTV, ACCESS CONTROL AND PERIMETER CONTROL FOR ROAD ACCIDENT FUND (RAF) HATFIELD REGION FOR A PERIOD OF 60 MONTHS",20/08/2025,19/09/2025,,,
Remediation activities and other waste management services,SCM/TSW/04/2025-2026,APPOITNMENT OF PANEL OF SERVICE PROVIDERS FOR REPAIRS AND MAITENANCE OF SEWERAGE AND WATER PUMPS WITHIN TSWELOPELE LOCAL MUNICIPALITY FOR THE PERIOD OF THREE (3) YEARS.,20/08/2025,19/09/2025,,,
Manufacture of chemicals and chemical products,SCM/TSW/05/2025-2026,APPOITNMENT OF PANEL OF SERVICE PROVIDERS FOR SUPPLY AND DELIVERY WATER PURIFICATION CHEMICALS TO TSWELOPELE LOCAL MUNICIPALITY: BULTFONTEIN AND HOOPSTAD UNIT FOR PERIOD OF THREE (3) YEARS.,20/08/2025,19/09/2025,,,
Rental and leasing activities,Lim473/canteen/25/26/006,Leasing of municipal space to provide canteen services for the period of 12 months within makhuduthamaga local municipality,20/08/2025,30/09/2025,,,
Wholesale and retail trade and repair of motor vehicles and motorcycles,SBM 61/24/25,SUPPLY AND DELIVERY OF NEW VEHICLES AND PLANT FOR SALDANHA BAY MUNICIPALITY.,19/08/2025,26/09/2025,,,
Services: Functional (Including Cleaning and Security Services),UMZ/2025-26/C&CS/PS/003,PROVISION OF SECURITY SERVICES FOR EMAXESIBENI MUNICIPAL PREMISES FOR A PERIOD OF TWO YEARS,19/08/2025,19/09/2025,,,
Services: Professional,SAT 295/25 (Central Europe Hub),DIGITAL ACTIVATION SERVICES FOR CENTRAL EUROPE HUB,19/08/2025,19/09/2025,,,
Construction,CONTRACT No. SCM 11 OF 25/26,FRAMEWORK AGREEMENT OF CONTRACTORS FOR THE CONSTRUCTION OF ROADS INFRASTRUCTURE PROJECTS (CIDB GRADE 2CE TO 8CE,19/08/2025,22/09/2025,,,
Services: Functional (Including Cleaning and Security Services),RE: ERI/2024/TACT/08,TENDER CANCELLATION LETTTER- PROVISION OF CLEANING SERVICES FOR ESKOM ROTEK INDUSTRIES,19/08/2025,30/09/2025,,,
"Other professional, scientific and technical activities",BID NU: 01/2026,"THE APPOINTMENT OF SERVICE PROVIDER FOR THE SUPPLY OF ALL LABOUR AND PERSONNEL, PLANT, TOOLS AND EQUIPMENT NECESSARY FOR OPERATIONS AND MAINTENANCE OF HUMBERDALE LANDFILL SITE",19/08/2025,19/09/2025,,,
Services: Civil,EDUMPRO01/2025/26,PANEL OF CIVIL CONSULTANTS & PROJECT MANAGEMENT FOR INFRASTRUCTURE SERVICES FOR A PERIOD 36 MONTHS,19/08/2025,19/09/2025,,,
Services: General,E1724NTCSAMWP,Supply and delivery of groceries to various Central Grid Sites for a period of 24 months.,19/08/2025,25/09/2025,,,
Information service activities,SAMRC/ITSD-APSH&P/2025/10,Supply of Information Technology Hardware and Peripherals,19/08/2025,19/09/2025,,,
Employment activities,DMSA 004-2025/26,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE PAYROLL SERVICES FOR DITSONG MUSEUMS OF SOUTH AFRICA (DMSA) FOR A PERIOD OF THREE (3) YEARS (DMSA 004-2025/26),19/08/2025,25/09/2025,,,
Other service activities,MMM/BID 712(AAA): 2025/2026,"THE INSTALLATION, SUPPLY, MAINTENANCE, INSPECTION AND SERVICING OF FIREFIGHTING EQUIPMENT’S IN THE BUILDINGS FOR MANGAUNG METRO MUNICIPALITY",19/08/2025,22/09/2025,,,
Services: Electrical,RFQ 8615,Replacement AGL LED Fittings (inserts and Apron) at Bram Fischer International Airport.,19/08/2025,23/09/2025,,,
Services: Functional (Including Cleaning and Security Services),LIM07-2025/2026,Provisioning of Cleaning and Hygiene Services at Department of Employment and Labour for a period of 36 months - Capricorn Cluster,19/08/2025,19/09/2025,,,
Services: Functional (Including Cleaning and Security Services),LIM08-2025/2026,Provisioning of Cleaning and Hygiene Services at Department of Employment and Labour for a period of 36 months - Sekhukhune Cluster,19/08/2025,19/09/2025,,,
Services: Functional (Including Cleaning and Security Services),LIM09-2025/2026,Provisioning of Cleaning and Hygiene Services at Department of Employment and Labour for a period of 36months - Waterberg Cluster,19/08/2025,19/09/2025,,,
Services: Functional (Including Cleaning and Security Services),LIM10-2025/2026,Provisioning of cleaning and hygiene services at Department of Employment and Labour for a period of 36 months- Mopani Cluster,19/08/2025,19/09/2025,,,
Services: Functional (Including Cleaning and Security Services),LIM11-2025/2026,Provisioning of Cleaning and Hygiene Services at Department Employment of Labour for a period of 36 months- Vhembe Cluster,19/08/2025,19/09/2025,,,
Supplies: General,T05.25.26,SUPPLY OF ASPHALTING SERVICES IN THE SWARTLAND MUNICIPAL AREA FOR THE PERIOD UP TO 30 JUNE 2026,19/08/2025,26/09/2025,,,
Services: Civil,CONTRACT NO.JRA /25/36,REQUEST FOR PROVISION OF TOTAL PRODUCTIVE MAINTENANCE SERVICES FOR JRA ASPHALT PLANT ON THE BASIS “AS AND WHEN REQUIRED” FOR A PERIOD OF THREE (3) YEARS. (5ME or Higher grading).,19/08/2025,19/09/2025,,,
Services: Professional,T07.25.26,APPOINTMENT OF A SERVICE PROVIDER FOR THE MAINTENANCE AND SERVICING OF CHLORINE DOSING EQUIPMENT IN THE SWARTLAND MUNICIPAL AREA FOR THE PERIOD ENDING 30 JUNE 2028,19/08/2025,26/09/2025,,,
"Travel agency, tour operator, reservation service and related activities",SAT 260/25,TRAVEL MANAGEMENT COMPANY FOR WEST AFRICA HUB,19/08/2025,22/09/2025,,,
Supplies: General,E1725GXMPARN,SUPPLY AND DELIVERY OF PIPES AND FITTINGS ON AN AS AND WHEN REQUIRED BASIS AT ARNOT POWER STATION FOR THE PERIOD OF 3 YEARS.,19/08/2025,06/10/2025,,,
Services: Electrical,E1715NTCSAMWP,"UPGRADING OF PERIMETER LIGHTING, NON-LETHAL FENCE, INNER FENCE, ACCESS CONTROL BUILDING AND THE GATES AT BETA SUBSTATION",19/08/2025,30/09/2025,,,
Construction,E1701GXSWF,DESIGN AND CONSTRUCTION OF ELECTRIC VEHICLE CHARGING INFRASTRUCTURE SYSTEM AT SERE WIND FARM FOR A PERIOD OF SIX MONTHS,19/08/2025,19/09/2025,,,
Construction,16-2024 Notice of Award,NOTICE OF AWARD: PANEL FOR CONSTRUCTION WORK ON CAPITAL PROJECTS AND MAINTAINANCE,19/08/2025,19/11/2025,,,
Supplies: General,MPKOM11201GXR1regret,Regret Letter - Re-issue of Supply and Delivery of various Submersible Pumps on an “as-and-when” required basis at Komati Power Station.,19/08/2025,30/09/2025,,,
Services: Professional,E1653CXMWP,"PROCUREMENT OF AN INTEGRATED INSURANCE MANAGEMENT SYSTEM, A SERVICE TO IMPLEMENT A FULLY FUNCTIONAL SOLUTION AND WITH SUPPORT AND MAINTENANCE FOR A PERIOD OF FIVE (05) YEARS",19/08/2025,08/10/2025,,,
Services: Building,FBC T6/2025,"REPAIR AND PAINT ENGINEERING WORKSHOP FLOORS, DOORS, AND WINDOWS AT WESTLAKE CAMPUS",18/08/2025,19/09/2025,,,
Civil engineering,TENDER NO MN 143-2025,TENDER NO. MN 143/2025 PANEL OF CONTRACTORS FOR BETTERMENT AND REGRAVELING OF ROADS FOR A PERIOD OF 3 YEARS,18/08/2025,03/10/2025,,,
"Electricity, gas, steam and air conditioning",FS095- Tender Validity Extension 2 - Consumables,"FS095 - Tender Validity Extension - The Supply and Delivery of Consumables for Property Management Department within the CentralEast Cluster – Free State Operating Unit, on an ‘as and when’ required basis for a period of forty-eight (48) months.",18/08/2025,30/10/2025,,,
"Electricity, gas, steam and air conditioning",8902,Maintenance of aircon chillers and spits units for Nkangala District Municipality buildings and satelite offices for the period of 36 months,18/08/2025,22/09/2025,,,
Services: General,E1719NTCSAMWP,Supply and delivery of 950 Insulator Bird Shields (200 X Composite and 750 X Glass),18/08/2025,01/10/2025,,,
Food and beverage service activities,WHAG RFP 2-2025,Request for Proposals: Offer to Lease – Museum Café,18/08/2025,19/09/2025,,,
Telecommunications,E1215CXMWPR,"SUPPLY, DELIVERY AND INSTALLATION OF AN OUTDOOR DIGITAL SIGN BOARD (65-INCH OUTDOOR LED DIGITAL DISPLAY MEDIA PLAYER) FOR RESEARCH TESTING AND DEVELOPMENT (RT&D) AT ESKOM RESEARCH AND INNOVATION CENTRE (ERIC) BUILDING AT ROSHERVILLE.",18/08/2025,29/09/2025,,,
Specialised construction activities,1KM THN CONTRACTOR - 2025/08/003,APPOINTMENT OF A SERVICE PROVIDER (CONTRACTOR) FOR MASILO/THEUNISSEN CONSTRUCTION OF 1KM PAVED ROADS AND STORMWATER CHANNEL IN TSHEPONG,18/08/2025,26/09/2025,,,
Supplies: Clothing/Textiles/Footwear,RT59-2026,SUPPLY AND DELIVERY OF FOOTWEAR AND LEATHER PRODUCTS TO THE STATE FOR THE PERIOD OF THIRTY-SIX (36) MONTHS,18/08/2025,19/09/2025,,,
Administrative and support activities,NKO:38/2024,"RE-ADVERT FOR REQUEST FOR PROPOSALS OF ACCREDITED SERVICE PROVIDERS TO OFFER SKILLS PROGRAMMES TRAINING, SKILLS AUDIT, CONDUCTING OF PROFESSIONAL RESEACH STUDIES FOR NKOMAZI LOCAL MUNICIPALITY FOR A PERIOD OF THIRTY-SIX (36) MONTHS",18/08/2025,30/09/2025,,,
Services: Building,E1429GXWCKBG_Bidders,Publication of Bidders name,18/08/2025,26/09/2025,,,
Supplies: Electrical Equipment,SCM/MOH/06/2025,Appointment of a panel for supply and delivery of electricity material for a period of 3 years,17/08/2025,19/09/2025,,,
Supplies: Electrical Equipment,SCM/MOH/07/2025,"Appointment of a panel for manufacturing, supply and delivery of electricity meters for a period of 3 years",17/08/2025,19/09/2025,,,
Construction,SCM/MOH/08/2025,Appointment of a service provider for electrification of 200 households(Smithfield),17/08/2025,26/09/2025,,,
Architectural and engineering activities; technical testing and analysis,SCM/MOH/09/2025,Appointment of a panel of engineering consultants for a period of 3 years,17/08/2025,26/09/2025,,,
Civil engineering,SCM/MOH/10/2025,Appointment of a contractor for the Roleleyathunya/Rouxville: Construction of the Sportsground (Phase2),17/08/2025,26/09/2025,,,
Supplies: Clothing/Textiles/Footwear,SCM/MOH/11/2025,Supply and Delivery of Personal Protective Equipment (PPE).,17/08/2025,03/10/2025,,,
Services: Electrical,SCM/MOH/12/2025,Appointment of a service provider for prepaid vending system and third-party vending,17/08/2025,03/10/2025,,,
Services: General,SCMU10-25/26-0014,"SUPPLY,DELIVERY AND PLACING OF PARKHOME STRUCTURES WITHIN KING SABATA DALINDYEBO, PORT ST JOHNS and INGQUZA HILL LOCAL MUNICIPALITIES",17/08/2025,19/09/2025,,,
"Manufacture of fabricated metal products, except machinery and equipment",DWS10 0825 WTE,"MANUFACTURE, SUPPLY AND DELIVERY OF SECURITY FENCE AND GATES MATERIALS FOR NANDONI DAM NATIONAL KEY POINT PROJECT",16/08/2025,07/10/2025,,,
Construction,DWS11-0825 WTE,"MANUFACTURE, SUPPLY, DELIVERY AND INSTALLATION OF PRECAST BEAMS AND PARAPET WALLS INCLUDING PILING FOR THE ACCESS ROAD BRIDGE TO NANDONI DAM REMEDIAL ACTION PROJECT - ONLY RESPONDENTS WITH CIDB GRADING 7CE OR 7SJ OR HIGHER ARE ELIGIBLE TO BID",16/08/2025,09/10/2025,,,
Services: Professional,GT/GPT/029/2025,DATA ANALYSIS TOOL TO BE UTILISED BY THE INTERNAL AUDIT UNIT FOR A PERIOD OF 3 YEARS,15/08/2025,26/09/2025,,,
Services: Electrical,31S/2025/26,"TERM TENDER FOR THE SUPPLY AND DELIVERY OF MAINTENANCE, REPAIR, UPGRADE AND REFURBISHMENT SERVICES FOR HIGH VOLTAGE AIR INSULATED SWITCHGEAR (AIS)",15/08/2025,14/10/2025,,,
Services: General,GHCM 01-2025/26,Tender to appoint an independent single brokerage for the provision of medical aid brokerage services for the City of Tshwane for a period of three (3) years,15/08/2025,19/09/2025,,,
Civil engineering,SC2587/2025,Electrification of Low-Cost Housing Areas in Overstrand for a Contract Period Ending 30 June 2028,15/08/2025,19/09/2025,,,
Construction,E1709DXEC,EXECUTION AND CONSTRUCTION OF MIDDELBURG/BULHOEK 22KV STRENGTHENING PHASE 2,15/08/2025,25/09/2025,,,
"Electricity, gas, steam and air conditioning",E1489CXMWP,"The supply and delivery of industrial and specialty, gases, rental of the supplier’s gas cylinders, repair and maintenance of gas lines including parts on as and when required basis for a period of five (5) years.",15/08/2025,06/10/2025,,,
Services: Civil,Bid No: 01/2025-26,Panel Appointment: Appointment of Contractors for The Construction of Rural Water Supply for the Period of 36 Months,15/08/2025,19/09/2025,,,
Security and investigation activities,E1424DXECR,"PROVISION OF SPECIALISED SECURITY SERVICES TO ENSURE THE PROTECTION OF PERSONNEL AND ASSETS IN THE EVENT OF CRIMINAL ACTIVITY OR THE RISK THEREOF, INCLUDING EMERGENCY SECURITY SITUATIONS",15/08/2025,23/09/2025,,,
Services: Civil,TDR48/2025/2026,"HIRING OF A WALK BEHIND ROLLER, ASPHALT CUTTER AND PLATE COMPACTOR",15/08/2025,19/09/2025,,,
Information and communication,H004L2607RFP00062,BORDER MANAGEMENT AUTHORITY (BMA) INVITES ACCREDITED SERVICE PROVIDERS TO RESPOND TO THE REQUEST FOR BIDS (RFB) FOR THE SUPPLY AND INSTALLATION OF ADVANCED ELECTRONIC SIGNATURES FOR 150 BMA EMPLOYEES FOR A PERIOD OF THREE (3) YEARS.,15/08/2025,19/09/2025,,,
Civil engineering,EPMLM/8/3/516,APPOINTMENT OF A CONTRACTOR FOR CONSTRUCTION OF DRIEFONTEIN INTERNAL ROAD,15/08/2025,19/09/2025,,,
Services: Civil,RTD 02-2025/26,Tender for the appointment of a contractor for the Upgrading of Roads and Stormwater Systems in Mabopane Block U: Phase 1 for a duration of 12 Months,15/08/2025,19/09/2025,,,
Supplies: Medical,HP04-2026ONC,HP04-2026ONC: SUPPLY AND DELIVERY OF ONCOLOGY AND IMMUNOLOGICAL AGENTS TO THE DEPARTMENT OF HEALTH FOR THE PERIOD 01 JULY 2026 TO 30 JUNE 2028,15/08/2025,13/10/2025,,,
Supplies: Medical,HP16-2027EPI,SUPPLY AND DELIVERY OF VACCINES USED IN THE EXPANDED PROGRAMME ON IMMUNISATION (EPI) TO THE DEPARTMENT OF HEALTH FOR THE PERIOD 01 JANUARY 2027 TO 31 DECEMBER 2029,15/08/2025,13/10/2025,,,
Supplies: Medical,HP03-2026CHM,SUPPLY AND DELIVERY OF CONTRACEPTIVES AND HORMONE MODULATING AGENTS TO THE DEPARTMENT OF HEALTH FOR THE PERIOD 01 OCTOBER 2026 TO 30 SEPTEMBER 2029,15/08/2025,13/10/2025,,,
"Manufacture of fabricated metal products, except machinery and equipment",E1722GXMPTUT,Supply and delivery of large couplings spares for the Milling Plant at Tutuka Power Station “on an as and when required Basis” for a duration of 60 Months,15/08/2025,03/10/2025,,,
Services: Professional,CTIA7892/2025/RFP,THE PROVISION OF A MULTI-DISCIPLINARY BUILT ENVIRONMENT PROFESSIONAL TEAM FOR THE CONSTRUCTION OF THE NEW GROUND SUPPORT EQUIPMENT WORKSHOPS PROJECT AT CAPE TOWN INTERNATIONAL AIRPORT FOR A PERIOD OF 36 MONTHS.,15/08/2025,26/09/2025,,,
Other service activities,MMM/BID 792: 2025/2026,CITY ENTRANCE BEAUTIFICATION OF NELSON MANDELA DRIVE,15/08/2025,19/09/2025,,,
Other service activities,MMM/BID 793: 2025/2026,CITY ENTRANCE BEAUTIFICATION OF MASELSPOORT DRIVE,15/08/2025,19/09/2025,,,
Other personal service activities,FIN-SCM-TEN-0132,Provision of advice and central service delivery on occupational health,15/08/2025,19/09/2025,,,
Information and communication,E1710CXMWP,Provision of Continuous Threat Exposure Management (CTEM) Professional managed services for a period of five (5) years,15/08/2025,09/10/2025,,,
Construction,FIN-SCM-TEN-0134,Bid for SAFARI-1 Cooling Tower Fills Replacement,15/08/2025,26/09/2025,,,
Repair and installation of machinery and equipment,TLM05/2025/26,PANEL OF SERVICE PROVIDERS FOR THE REPAIR AND MAINTENANCE OF PUMPS AND PUMP STATION INFRASTRUCTURE FOR A PERIOD OF THREE (3) YEARS AS AND WHEN NEEDED,15/08/2025,19/09/2025,,,
Air transport,ATNS/TPG/RFP20/2025/2026/ATIS,"The appointment of a service provider for the supply, delivery, installation, and commissioning of an automatic terminal information service (ATIS) system at Bram Fischer International Airport (FABL), George Airport (FAGG), Port Elizabeth Airport (FAPE), East London Airport (FAEL), Cape Town International airport (fact), O.R Tambo International Airport (FAOR), King Shaka International Airport (FALE),and the Aviation Training Academy (ATA).",15/08/2025,15/10/2025,,,
Wholesale and retail trade and repair of motor vehicles and motorcycles,COMM 07/2025/26,"APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE REPAIR, MAINTENANCE AND SERVICING OF MUNICIPAL VEHICLES IN THE THEEWATERSKLOOF MUNICIPAL AREA FOR THE PERIOD FROM DATE OF APPOINTMENT UNTILL 30 JUNE 2028.",14/08/2025,19/09/2025,,,
Civil engineering,MWP2350TX KAPPA,"CANCELLATION OF THE TO COMPLETE DETAIL DESIGNS AND CONSTRUCTION DESIGNS, BUY, DELIVER AND INSTALL 500 MVA 400/132/22 KV 2nd TRANSFORMER, EXTEND THE 400KV BUSBAR AND EQUIP THE 400KV FEEDER AND 132 kV FEEDER AT KAPPA SUBSTATION",14/08/2025,30/09/2025,,,
Supplies: General,E1705GXMPKRI,SUPPLY AND DELIVERY OF BOILER TUBE SPARES ON AN “AS AND WHEN” REQUIRED BASIS AT KRIEL POWER STATION FOR A PERIOD OF FIVE YEARS.,14/08/2025,23/09/2025,,,
Construction of buildings,RLM/DRT/0170/2024/25..,Appointment of a contractor for the construction of Rustenburg rapid transport stations superstructures zone B (turnkey solution) for 10 months,14/08/2025,09/10/2025,,,
Supplies: Electrical Equipment,EED 01-2025/26,"Tender for supply, delivery and offloading of fittings and connectors for low voltage aerial bundle conductors (ABC) on an as when required basis for a 3-year period.",14/08/2025,26/09/2025,,,
Services: Civil,ROC 01-2025/26,"Tender for maintenance, rehabilitation, upgrading and installation of stormwater systems, repairs to bridges and repairs to paved surfaces in all 7 Regions of the City of Tshwane, as and when required for a 3-year period.",14/08/2025,25/09/2025,,,
Services: General,GICT 03-2025/26,"Tender to provide, operate and maintain the ICT corporate network equipment, existing hosted voice and data solution deployed, and the expansion of the existing corporate network as and when for a period of three (3) years.",14/08/2025,25/09/2025,,,
Supplies: Stationery/Printing,E1716NTCSAMWP,The provision of stationery within the Southern Grid,14/08/2025,30/09/2025,,,
Information and communication,GICT 01-2025/26,Tender for the provision of ICT desktop support services for a period of three (3) years.,14/08/2025,26/09/2025,,,
Supplies: General,FOSPHB-RFP-36-25/26,FOSPHB-RFP-36-25/26 REQUEST FOR PROPOSAL [RFP] FOR THE PROVISION OF LABOUR FOR DRIER UPKEEP AND MINOR WORKS FOR DRYING AND DISPATCHING FOR A PERIOD OF THREE (3) YEARS,14/08/2025,30/09/2025,,,
Services: Professional,GKM 14-25/26,APPOINTMENT OF PANEL OF TRAINING PROVIDERS,14/08/2025,19/09/2025,,,
Supplies: Medical,HD 01-2025/26,"Tender for the appointment of a service provider to supply medicine labels, clinic address labels and warning labels to the City of Tshwane Pharmaceutical Services for a three-year period, as and when required.",14/08/2025,22/09/2025,,,
Supplies: General,FOSPHB-RFP-37-25/26,FOSPHB-RFP-37-25/26 REQUEST FOR PROPOSAL [RFP] FOR THE PROVISION OF DRUM ALIGNMENT SURVEY FOR A PERIOD OF THREE (3) YEARS,14/08/2025,30/09/2025,,,
Supplies: Medical,HD 02-2025/26,"Tender for the supply and delivery of surgical items and medical sundries to City of Tshwane for a three-year period, as and when required.",14/08/2025,22/09/2025,,,
Information and communication,GKM 18-25/26,PROVISION OF PANEL OF COMMUNICATIONS SERVICES,14/08/2025,22/09/2025,,,
Services: General,ICLM HQ 968/TPT,"FOR DESIGN, SUPPLY, DELIVERY, INSTALLATION, AND COMMISSIONING OF BIRD PROOFING SYSTEM FOR TRANSNET SOC LTD (REG.NO 1990/000900/30) OPERATING AS TRANSNET PORT TERMINALS (HEREINAFTER REFERRED TO AS “TPT”) AT THE PORT OF DURBAN AGRI-PORT AND MAYDON WHARF TERMINAL FOR A PERIOD OF TWELVE (12) MONTHS.",14/08/2025,26/09/2025,,,
Civil engineering,GKM 21-25/26,APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE PROVISION OF CIVIL ENGINEERING SERVICES FOR A PERIOD OF 36 MONTHS,14/08/2025,26/09/2025,,,
Services: General,HD 03-2025/26,"Tender for the for the appointment of service provider/s for the emergency transportation of patients (ambulance services) to hospitals and community health care centers from primary health care clinics within the City of Tshwane for a three-year period, as and when required.",14/08/2025,22/09/2025,,,
Supplies: Medical,HD 04-2025/26,"Tender for the supply, delivery and off -loading of consumables for the City of Tshwane health department as and when required over a three (3) year period",14/08/2025,23/09/2025,,,
Services: General,GFS 01-2025/26,Tender for the appointment of actuarial services to the City of Tshwane to perform valuations of employee benefits in terms of International Accounting Standards 19 (IAS 19) and Generally Accepted Accounting Practice 25 (GRAP 25) for three financial years.,14/08/2025,23/09/2025,,,
Services: General,SS 01-2025/26,"Tender for the appointment of a service provider to manage, operate and maintain fuel management systems for a three-year period.",14/08/2025,26/09/2025,,,
Supplies: Electrical Equipment,MWP2772NTCSA - Cancellation,"Tender cancellation (MWP2772NTCSA) - The design, manufacture, testing, supply, delivery and offloading of capacitance-graded Transformer HVDC Bushings (Once-off).",14/08/2025,30/09/2025,,,
Services: General,ES 05-2025/26,"Tender for the appointment of a service provider to review and provide an updated comprehensive report on disaster risk & vulnerability as it impacts the City of Tshwane in terms of the disaster management act, act 57 of 2002 and the national disaster management framework of 2005",14/08/2025,19/09/2025,,,
Repair and installation of machinery and equipment,ES 06-2025/26,"Tender for repairs, maintenance and replacement of the Dräger self-contained breathing apparatus parts for the City of Tshwane emergency services department for a period of three (3) years as and when required",14/08/2025,19/09/2025,,,
Services: Electrical,RFQ. 8583,Roller Shutter Door Replacement at Bram Fischer International Airport,14/08/2025,19/09/2025,,,
Services: Civil,RFQ 8617,"STORMWATER, ROAD AND PARKING MAINTENANCE AT BRAM FISCHER INTERNATIONAL AIRPORT",14/08/2025,22/09/2025,,,
Services: General,ENWBC101125,Invitation to SMME Business Connect -Supplier Development Convention comes to North West Province,13/08/2025,18/09/2025,,,
Supplies: General,E1469GXMPHEN,Supply and delivery of antiscalant chemical for cooling water and ash water system on an “as and when” required basis at Hendrina Power Station for a period of 5 years.,13/08/2025,25/09/2025,,,
Supplies: General,COR7979/2025/RFP,"REQUEST FOR PROPOSAL FOR THE SUPPLY, INSTALLATION, COMMISSIONING, SUPPORT AND MAINTENANCE OF IT TELECOMMUNICATION SERVICES FOR A PERIOD OF 84 MONTHS TO AIRPORTS COMPANY SOUTH AFRICA",13/08/2025,19/09/2025,,,
Construction,E1465DXFSOU,Establishing an Enabling Agreement with a panel of nine (9) contractors for Class 3 & 4 Wood Pole Replacement under Live Conditions (11 – 33kV) in the Free State Operating Unit for a period of 60 months on an “as and when required” basis,13/08/2025,23/09/2025,,,
Construction,E1699NTCSAMP,"FOR PROVISION FOR SMALL WORKS MAINTENANCE OF SUBSTATION EQUIPMENT, CIVIL, ELECTRICAL, AND MECHANICAL WORK IN NTCSA NORTH EAST GRID MPUMALANGA FOR A PERIOD OF FIVE (5) YEARS.",13/08/2025,03/10/2025,,,
Supplies: General,E1689GXLPMAT,SUPPLY AND DELIVERY OF ACC FAN MOTORS AT MATIMBA POWER STATION FOR A PERIOD OF 05 YEARS ON AS AND WHEN REQUIRED BASIS,13/08/2025,09/10/2025,,,
Services: General,EDT/055/25/MP,APPOINTMENT OF A SERVICE PROVIDER FOR THE REVIEW OF THE MPUMALANGA ECONOMIC GROWTH AND DEVELOPMENT PATH (MEGDP),13/08/2025,19/09/2025,,,
"Other professional, scientific and technical activities",E1646GXMPMAT,"The service of Raw Coal Sampling on mill feeders , coal ash feeders and coarse ash sampling across all units for 5 years at Matla Power Station",13/08/2025,26/09/2025,,,
Supplies: General,FOSRBY-RFP-22-25/26,FOSRBY-RFP-22-25/26 REQUEST FOR PROPOSAL FOR THE MAIN LABORATORY HR AND CANTEEN ROOF REFURBISHMENT,13/08/2025,30/09/2025,,,
Other service activities,E1704GXMPKRI,REFURBISHMENT OF MEDIUM VOLTAGE CIRCUIT BREAKERS ON AN “AS AND WHEN” REQUIRED BASIS AT KRIEL POWER STATION FOR A PERIOD OF FIVE YEARS.,13/08/2025,23/09/2025,,,
