Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Financial and insurance activities,RFP 22/2025,Appointment of a Group Life Insurer for a period of sixty (60) months,20/08/2025,23/09/2025,South African Revenue Service,Request for Proposal,Gauteng,"299 Bronkhorst street, Brooklyn, Pretoria, 0181",N/A,Tender office,tenderoffice@sars.gov.za,012-647-9510,N/A,Yes,Yes,,Link attached on the Invitation Letter and RFP Document,No,No,,
Rental and leasing activities,TMNP087/2025-26,APPOINTMENT OF A SERVICE PROVIDER FOR LETTING OF TWO (2) TOURISM RETAIL KIOSK SPACES AT THE TABLE MOUNTAIN LOWER CABLE STATION FOR A PERIOD OF 36 MONTHS ENDING NOVEMBER 2028,20/08/2025,26/09/2025,South African National Parks,Request for Quotation,Western Cape,"5821 Tafelberg Road, Lower Cableway Station , Table Mountain (Nature Reserve), Cape Town, 8001",N/A,Mathabatha Matjila,Mathabatha.Matjila@sanparks.org,021-741-2377,021-741-2377,No,,,,No,No,,
Supplies: Electrical Equipment,E1378GXMPCAMP,Publication of Names of Bidders: The provision of maintenance and refurbishment of all HV and LV motors for a period of 60 months for Camden Power Station,20/08/2025,22/09/2025,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"Camden Power station, Ermelo, Ermelo, 2350",N/A,Charlene Nontokozo Nkosi,nkosicnh@eskom.co.za,017-827-8331,N/A,No,,,,No,No,,
Supplies: General,E1726GXMPMAJ,Supply and Delivery of Mill Windbox Liners Spares at Majuba Power Station for 60 months,20/08/2025,02/10/2025,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"Majuba Power Station, Volksrust - Amersfoort Road, Volksrust, Volksrust, 2470",N/A,PHINDILE SAMKELISIWE ZULU,ZuluPSh@eskom.co.za,017-799-2708,N/A,No,,,,No,No,,
Security and investigation activities,RAF/2025/00029,"THE ROAD ACCIDENT FUND (RAF) REQUIRES AN ACCREDITED BIDDER TO DESIGN, SUPPLY, INSTALL, COMMISSION AND MAINTAIN THE INTEGRATED SECURITY SYSTEMS OF CCTV, ACCESS CONTROL AND PERIMETER CONTROL FOR ROAD ACCIDENT FUND (RAF) HATFIELD REGION FOR A PERIOD OF 60 MONTHS",20/08/2025,19/09/2025,Road Accident Fund,Request for Bid(Open-Tender),Gauteng,"1040 BURNETT STREET, HATFIELD, PRETORIA, 0046",Bidders must come with copies of the tender document to the briefing session for their referral.,Shadi Matlou,Shadim@raf.co.za,012-649-2030,N/A,Yes,Yes,,,No,No,,
Remediation activities and other waste management services,SCM/TSW/04/2025-2026,APPOITNMENT OF PANEL OF SERVICE PROVIDERS FOR REPAIRS AND MAITENANCE OF SEWERAGE AND WATER PUMPS WITHIN TSWELOPELE LOCAL MUNICIPALITY FOR THE PERIOD OF THREE (3) YEARS.,20/08/2025,19/09/2025,Tswelopele Local Municipality,Request for Bid(Open-Tender),Free State,"1 BOSMAN STREET, CIVIC CENTRE, BULTFONTEIN, 9670","The tenders will be evaluated and adjudicated in line with the approved Supply Chain Management Policy of Tswelopele Local Municipality using 80/20 preference point system in accordance with the Preferential Procurement Regulations, 2022. 1. Compliance Returnable 2. Functionality 3. Price= 80 4. Specific goals = 20 (gender, race, disability and youth)",SELLO TSOLELI,tsoleli@tswelopele.org,051-853-1111,051-853-1332,No,,,,No,No,,
Manufacture of chemicals and chemical products,SCM/TSW/05/2025-2026,APPOITNMENT OF PANEL OF SERVICE PROVIDERS FOR SUPPLY AND DELIVERY WATER PURIFICATION CHEMICALS TO TSWELOPELE LOCAL MUNICIPALITY: BULTFONTEIN AND HOOPSTAD UNIT FOR PERIOD OF THREE (3) YEARS.,20/08/2025,19/09/2025,Tswelopele Local Municipality,Request for Bid(Open-Tender),Free State,"1 BOSMAN STREET, CIVIC CENTRE, BULTFONTEIN, 9670","The tenders will be evaluated and adjudicated in line with the approved Supply Chain Management Policy of Tswelopele Local Municipality using 80/20 preference point system in accordance with the Preferential Procurement Regulations, 2022. 1. Compliance Returnable 2. Functionality 3. Price= 80 4. Specific goals = 20 (gender, race, disability and youth)",SELLO TSOLELI,tsoleli@tswelopele.org,051-853-1111,051-853-1332,No,,,,No,No,,
Rental and leasing activities,Lim473/canteen/25/26/006,Leasing of municipal space to provide canteen services for the period of 12 months within makhuduthamaga local municipality,20/08/2025,30/09/2025,Makhuduthamaga Local Municipality,Request for Bid(Open-Tender),Limpopo,"MAKAUTUTHAMAGA MUNICIPLAITY, JANE FURSE, JANE FURSE, 1085",special condition will be in a tender document,Mothapo K,khalabokj@makhuduthamaga.gov.za,013-265-8607,N/A,No,,,,No,No,,
Wholesale and retail trade and repair of motor vehicles and motorcycles,SBM 61/24/25,SUPPLY AND DELIVERY OF NEW VEHICLES AND PLANT FOR SALDANHA BAY MUNICIPALITY.,19/08/2025,26/09/2025,SALDANHA BAY MUNICIPALITY,Request for Bid(Open-Tender),Western Cape,"15 Main Road, Vredenburg, Vredenburg, 7380",N/A,JP du Preez,jp.dupreez@sbm.gov.za,022-701-6942,022-715-1518,No,,,,No,No,,
Services: Functional (Including Cleaning and Security Services),UMZ/2025-26/C&CS/PS/003,PROVISION OF SECURITY SERVICES FOR EMAXESIBENI MUNICIPAL PREMISES FOR A PERIOD OF TWO YEARS,19/08/2025,19/09/2025,Umzimvubu Local Municipality,Request for Bid(Open-Tender),Eastern Cape,"Dabula Street, Sophia, Mount Frere, 5090",N/A,Mr. B. Ntlamba,ntlamba.bongile@umzimvubu.gov.za,039-255-8500,N/A,Yes,Yes,,KwaBhaca new offices,No,No,,
Services: Professional,SAT 295/25 (Central Europe Hub),DIGITAL ACTIVATION SERVICES FOR CENTRAL EUROPE HUB,19/08/2025,19/09/2025,South African Tourism,Request for Proposal,Gauteng,"SPACES im Tower ONE, , Brüsseler Str. 1-3, , Germany",Submission link: https://e-procurement.southafrica.net,THEMBELIHLE PRINCESS NYIDE,thembelihle@southafrica.net,011-895-3000,N/A,No,,,,No,No,,
Construction,CONTRACT No. SCM 11 OF 25/26,FRAMEWORK AGREEMENT OF CONTRACTORS FOR THE CONSTRUCTION OF ROADS INFRASTRUCTURE PROJECTS (CIDB GRADE 2CE TO 8CE,19/08/2025,22/09/2025,Msunduzi Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"333 Church Street, AS Chetty Building, , Pietermaritzburg, Pietermaritzburg, 3201",N/A,Vanil Maharaj,vanil.maharaj@msunduzi.gov.za,083-570-1343,N/A,No,,,,No,No,,
Services: Functional (Including Cleaning and Security Services),RE: ERI/2024/TACT/08,TENDER CANCELLATION LETTTER- PROVISION OF CLEANING SERVICES FOR ESKOM ROTEK INDUSTRIES,19/08/2025,30/09/2025,ESKOM,Request for Quotation,Gauteng,"Corner Lower Germiston Road and Hunslet Road, Johannesburg",TENDER CANCELLATION LETTTER- PROVISION OF CLEANING SERVICES FOR ESKOM ROTEK INDUSTRIES,T.GAMA,gamamt@eskom.co.za,011-621-3000,N/A,No,,,,No,No,,
"Other professional, scientific and technical activities",BID NU: 01/2026,"THE APPOINTMENT OF SERVICE PROVIDER FOR THE SUPPLY OF ALL LABOUR AND PERSONNEL, PLANT, TOOLS AND EQUIPMENT NECESSARY FOR OPERATIONS AND MAINTENANCE OF HUMBERDALE LANDFILL SITE",19/08/2025,19/09/2025,Umdoni Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"Cnr Bram fFischer and Williamson Street, SCOTTBURGH, SCOTTBURGH, 4180",NONE,Mr K Subben,kavershens@umdoni.gov.za,078-552-1498,039-976-0017,No,,,,No,No,,
Services: Civil,EDUMPRO01/2025/26,PANEL OF CIVIL CONSULTANTS & PROJECT MANAGEMENT FOR INFRASTRUCTURE SERVICES FOR A PERIOD 36 MONTHS,19/08/2025,19/09/2025,eDumbe Local Municipality,Request for Proposal,KwaZulu-Natal,"10 Hoog Street, Paulpietersburg, Paulpietersburg, 3180",BID CLOSING DATE IS FRIDAY 19 SEPTEMBER 2025 @ 12H00,Zandile Nkambule,nkambulep@edumbe.gov.za,034-995-1650,N/A,No,,,,No,No,,
Services: General,E1724NTCSAMWP,Supply and delivery of groceries to various Central Grid Sites for a period of 24 months.,19/08/2025,25/09/2025,ESKOM,Request for Bid(Open-Tender),Gauteng,"Lower Germiston Road, Rosherville, Germiston, 1450",N/A,Duduzile Mqadi,mqadidj@ntcsa.co.za,016-457-5632,N/A,Yes,2025-09-09T10:00:00,,Join the meeting now,No,No,,
Information service activities,SAMRC/ITSD-APSH&P/2025/10,Supply of Information Technology Hardware and Peripherals,19/08/2025,19/09/2025,Medical Research Council of South Africa,Request for Bid(Open-Tender),Western Cape,"FRANCIE, Parow Valley, Parow , 7500","Prospective supplier(s) who wish to attend the briefing sessions should email their Microsoft Teams credentials to tenders@mrc.ac.za prior to the meeting date. Notwithstanding the above, a link for the briefing session will be provided to all suppliers that have registered and downloaded the bid document within two(2) days before the meeting date and time.",Supply Chain Manangement,tenders@mrc.ac.za,021-938-0911,N/A,Yes,2025-09-04T11:00:00,,Microsoft Team,No,No,,
Employment activities,DMSA 004-2025/26,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE PAYROLL SERVICES FOR DITSONG MUSEUMS OF SOUTH AFRICA (DMSA) FOR A PERIOD OF THREE (3) YEARS (DMSA 004-2025/26),19/08/2025,25/09/2025,Ditsong: Museums of South Africa,Request for Bid(Open-Tender),National,"149 VISAGIE STREET, PRETORIA CENTRAL, 0002, Pretoria, Pretoria, 0002",N/A,Mr. Ntsako Thwala,Tender@ditsong.org.za,012-492-5744,N/A,Yes,Yes,,"DITSONG: NATIONAL MUSEUM OF CULTURAL HISTORY 149 VISAGIE STREET, PRETORIA CENTRAL, 0002",No,No,,
Other service activities,MMM/BID 712(AAA): 2025/2026,"THE INSTALLATION, SUPPLY, MAINTENANCE, INSPECTION AND SERVICING OF FIREFIGHTING EQUIPMENT’S IN THE BUILDINGS FOR MANGAUNG METRO MUNICIPALITY",19/08/2025,22/09/2025,Mangaung Metropolitan Municipality,Request for Bid(Open-Tender),Free State,"Supply Chain Management Offices, 6 Mannion Road, Orangesig, Bloemfontein, 9300, Orangesig, Bloemfontein, BLOEMFONTEIN, 9300",N/A,Mvula Nhlapo,Mvula.Nhlapo@mangaung.co.za,051-405-8262,N/A,Yes,Yes,,"MMM Supply Chain Management Tender Room, No 06 Mannion Road, Orangesig Bloemfontein ,9300",No,No,,
Services: Electrical,RFQ 8615,Replacement AGL LED Fittings (inserts and Apron) at Bram Fischer International Airport.,19/08/2025,23/09/2025,Airports Company of South Africa Limited,Request for Bid(Open-Tender),Free State,"Thabe Nchu Road, Bram Fischer International Airport, Bloemfontein, Bloemfontein, 9300",N/A,Lerato Phalo,lerato.phalo@airports.co.za,010-207-2000,N/A,Yes,Yes,,Bram Fischer International Airport,Yes,No,,
Services: Functional (Including Cleaning and Security Services),LIM07-2025/2026,Provisioning of Cleaning and Hygiene Services at Department of Employment and Labour for a period of 36 months - Capricorn Cluster,19/08/2025,19/09/2025,Labour,Request for Bid(Open-Tender),Limpopo,"42a Schoeman Street Polokwane, Polokwane, Polokwane, 0700",All bids must be submitted at 42a Schoeman Street,Tlou Morema,tlou.morema@labour.gov.za,015-290-1702,N/A,Yes,2025-08-29T11:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZThmNGRiMDUtZjljYi00MDZjLWFiNGQtOTI0YzM4ZDdmN,No,No,,
Services: Functional (Including Cleaning and Security Services),LIM08-2025/2026,Provisioning of Cleaning and Hygiene Services at Department of Employment and Labour for a period of 36 months - Sekhukhune Cluster,19/08/2025,19/09/2025,Labour,Request for Bid(Open-Tender),Limpopo,"42a Schoeman Street Polokwane, Polokwane, Polokwane, 0700",All Bids must be submitted at 42a Schoeman street,Tlou Morema,tlou.morema@labour.gov.za,015-290-1702,N/A,Yes,2025-08-29T11:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZThmNGRiMDUtZjljYi00MDZjLWFiNGQtOTI0YzM4ZDdmN,No,No,,
Services: Functional (Including Cleaning and Security Services),LIM09-2025/2026,Provisioning of Cleaning and Hygiene Services at Department of Employment and Labour for a period of 36months - Waterberg Cluster,19/08/2025,19/09/2025,Labour,Request for Bid(Open-Tender),Limpopo,"42a Schoeman Street Polokwane, Polokwane, Polokwane, 0700",All Bids must be submitted at 42a Schoeman street,Tlou Morema,tlou.morema@labour.gov.za,015-290-1702,N/A,Yes,2025-08-29T11:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZThmNGRiMDUtZjljYi00MDZjLWFiNGQtOTI0YzM4ZDdmN,No,No,,
Services: Functional (Including Cleaning and Security Services),LIM10-2025/2026,Provisioning of cleaning and hygiene services at Department of Employment and Labour for a period of 36 months- Mopani Cluster,19/08/2025,19/09/2025,Labour,Request for Bid(Open-Tender),Limpopo,"42a Schoeman Street Polokwane, Polokwane, Polokwane, 0700",All Bids must be submitted at 42a Schoeman Street,Tlou Morema,tlou.morema@labour.gov.za,015-290-1702,N/A,Yes,Yes,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZThmNGRiMDUtZjljYi00MDZjLWFiNGQtOTI0YzM4ZDdmN,No,No,,
Services: Functional (Including Cleaning and Security Services),LIM11-2025/2026,Provisioning of Cleaning and Hygiene Services at Department Employment of Labour for a period of 36 months- Vhembe Cluster,19/08/2025,19/09/2025,Labour,Request for Bid(Open-Tender),Limpopo,"42a Schoeman Street Polokwane, Polokwane, Polokwane, 0700",All Bids must be submitted at 42a Schoeman Street,Tlou Morema,tlou.morema@labour.gov.za,015-290-1702,N/A,Yes,2025-08-29T11:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZThmNGRiMDUtZjljYi00MDZjLWFiNGQtOTI0YzM4ZDdmN,No,No,,
Supplies: General,T05.25.26,SUPPLY OF ASPHALTING SERVICES IN THE SWARTLAND MUNICIPAL AREA FOR THE PERIOD UP TO 30 JUNE 2026,19/08/2025,26/09/2025,Swartland Municipality,Request for Bid(Limited-Tender,Western Cape,"Malmesbury, Malmesbury, Malmesbury, 7300",N/A,Jonre Pieters,pietersj@swartland.org.za,022-487-9400,N/A,No,,,,No,No,,
Services: Civil,CONTRACT NO.JRA /25/36,REQUEST FOR PROVISION OF TOTAL PRODUCTIVE MAINTENANCE SERVICES FOR JRA ASPHALT PLANT ON THE BASIS “AS AND WHEN REQUIRED” FOR A PERIOD OF THREE (3) YEARS. (5ME or Higher grading).,19/08/2025,19/09/2025,Johannesburg Road Agency (JRA),Request for Bid(Open-Tender),Gauteng,"75 HELEN JOSEPH STREET, JOHANNESBURG, JOHANNESBURG, 2001",A Complete and Detailed Functionality Evaluation Criterion as such it will be made available as contained in All the Bid Documents for a download from the official JRA’s website on the following address (www.jra.org.za/procurement/tenders). On the 22 August 2025,Leon Monageng,tenderenquiries@jra.org.za,011-298-5000,N/A,Yes,Yes,,"JRA Asphalt Plant situated at No. 08 Spring Street, Ophirton, Booysens, Johannesburg",No,No,,
Services: Professional,T07.25.26,APPOINTMENT OF A SERVICE PROVIDER FOR THE MAINTENANCE AND SERVICING OF CHLORINE DOSING EQUIPMENT IN THE SWARTLAND MUNICIPAL AREA FOR THE PERIOD ENDING 30 JUNE 2028,19/08/2025,26/09/2025,Swartland Municipality,Request for Bid(Limited-Tender,Western Cape,"Malmesbury, Malmesbury, Malmesbury, 7300",N/A,Jo-Maré van der Westhuizen,vanderwesthuizenj@swartland.org.za,022-487-9400,N/A,Yes,Yes,,,No,No,,
"Travel agency, tour operator, reservation service and related activities",SAT 260/25,TRAVEL MANAGEMENT COMPANY FOR WEST AFRICA HUB,19/08/2025,22/09/2025,South African Tourism,Request for Proposal,Gauteng,"8th Floor Church Gate Towers 2, 8th Floor Church Gate Towers 2, Plot PC 31, Church Gate Street, Victoria Island Lagos Nigeria, 0000",Submission link: https://e-procurement.southafrica.net,THEMBELIHLE PRINCESS NYIDE,thembelihle@southafrica.net,011-895-3000,N/A,No,,,,No,No,,
Supplies: General,E1725GXMPARN,SUPPLY AND DELIVERY OF PIPES AND FITTINGS ON AN AS AND WHEN REQUIRED BASIS AT ARNOT POWER STATION FOR THE PERIOD OF 3 YEARS.,19/08/2025,06/10/2025,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"Arnot Power Station, 50kms from Middleburg, Rietkuil, Middleburg, 1097",N/A,Penelope,mabundpe@eskom.co.za,013-297-9924,N/A,No,,,,No,No,,
Services: Electrical,E1715NTCSAMWP,"UPGRADING OF PERIMETER LIGHTING, NON-LETHAL FENCE, INNER FENCE, ACCESS CONTROL BUILDING AND THE GATES AT BETA SUBSTATION",19/08/2025,30/09/2025,ESKOM,Request for Bid(Open-Tender),Free State,"Beta Substation, Beta Substation, Free State",The tender documents are uploaded on NTCSA Tender bulletin: https://etendering.ntcsa.co.za. To access the tender use this Link: https://tenderbulletin.ntcsa.co.za,Mmabatho Marokane,marokama@ntcsa.co.za,011-800-2761,000-000-0000,Yes,2025-09-03T10:00:00,,eams: Join the meeting now Meeting ID: 314 384 525 237 2 Passcode: im2Kc7xe,No,No,,
Construction,E1701GXSWF,DESIGN AND CONSTRUCTION OF ELECTRIC VEHICLE CHARGING INFRASTRUCTURE SYSTEM AT SERE WIND FARM FOR A PERIOD OF SIX MONTHS,19/08/2025,19/09/2025,ESKOM,Request for Bid(Open-Tender),Western Cape,"Sere Wind Farm, Western Cape -Koekenaap","N:B Please note that a site/clarification meeting is mandatory/compulsory, then tenderers must attend such meeting. Tenderers that do not attend such mandatory/compulsory meeting will be disqualified and will not be evaluated",Noma Mphaga,mphaganc@eskom.co.za,011-411-6502,N/A,Yes,Yes,,The Sere Wind Farm,No,No,,
Construction,16-2024 Notice of Award,NOTICE OF AWARD: PANEL FOR CONSTRUCTION WORK ON CAPITAL PROJECTS AND MAINTAINANCE,19/08/2025,19/11/2025,iSimangaliso Wetland Park,Request for Bid(Open-Tender),KwaZulu-Natal,"Catalina Bay Road, St Lucia, St Lucia, 3936",N/A,Bids Representative,bids@isimangaliso.com,035-590-1633,N/A,No,,,,No,No,,
Supplies: General,MPKOM11201GXR1regret,Regret Letter - Re-issue of Supply and Delivery of various Submersible Pumps on an “as-and-when” required basis at Komati Power Station.,19/08/2025,30/09/2025,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"R35 Bethal/Middelburg Road, Blinkpan, Emalahleni, 1050",N/A,Silindile Mseleku,MselekCS@eskom.co.za,013-295-9519,N/A,No,,,,No,No,,
Services: Professional,E1653CXMWP,"PROCUREMENT OF AN INTEGRATED INSURANCE MANAGEMENT SYSTEM, A SERVICE TO IMPLEMENT A FULLY FUNCTIONAL SOLUTION AND WITH SUPPORT AND MAINTENANCE FOR A PERIOD OF FIVE (05) YEARS",19/08/2025,08/10/2025,ESKOM,Request for Proposal,Gauteng,"The tenderer must upload the tender via Eskom Tender bulletin site on the Eskom E- tendering page. T, Sunninghill, Johannesburg, 2000",None,Tlou Mashalane,mashalst@eskom.co.za,011-800-4954,086-539-6177,Yes,2025-08-25T11:00:00,,MicroSoft Teams Meeting,No,No,,
Services: Building,FBC T6/2025,"REPAIR AND PAINT ENGINEERING WORKSHOP FLOORS, DOORS, AND WINDOWS AT WESTLAKE CAMPUS",18/08/2025,19/09/2025,False Bay TVET College,Request for Bid(Open-Tender),Western Cape,"Westlake Drive, Westlake, CAPE TOWN, 7945",1. A non-refundable tender deposit of R300.00 payable by proof of deposit is required on requesting the electronic Tender documents. 2. Queries to the issue of bid documents FBC T6/2025 may be addressed to Supply Chain Management by emailing tenders@falsebay.org.za. 3. Bids has an Evaluation criteria: - Company information = 5% - Technical proposal = 15% - Pricing proposal = 10% - Project timeline = 10% - Reference list = 60%,Supply Chain Management,tenders@falsebay.org.za,021-787-0800,N/A,Yes,Yes,,"False Bay TVET College: Westlake Campus, Westlake Drive, Westlake, 7945",No,No,,
Civil engineering,TENDER NO MN 143-2025,TENDER NO. MN 143/2025 PANEL OF CONTRACTORS FOR BETTERMENT AND REGRAVELING OF ROADS FOR A PERIOD OF 3 YEARS,18/08/2025,03/10/2025,Kwadukuza Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"2 INDUSTRIA CRESENT, KWADUKUZA , KWADUKUZA, 4450",• RDP criteria applied to this bid: this bid is open only to bidders who reside within the Jurisdiction of KwaDukuza Municipality. Proof of address by way of Municipal utility bill or a proof of address by the Ward Councillor (Special KDM Format) or an affidavit from the Landlord to confirm locality must be provided with your bid,MXOLISI CELE,mxolisic@kwadukuza.gov.za,032-437-5180,N/A,Yes,Yes,,"2 INDUSTRIA CRESENT KWADUKUZA, PMU Boardroom",No,No,,
"Electricity, gas, steam and air conditioning",FS095- Tender Validity Extension 2 - Consumables,"FS095 - Tender Validity Extension - The Supply and Delivery of Consumables for Property Management Department within the CentralEast Cluster – Free State Operating Unit, on an ‘as and when’ required basis for a period of forty-eight (48) months.",18/08/2025,30/10/2025,ESKOM,Request for Bid(Open-Tender),Free State,"ESKOM CENTRE, 120 Henry Street, Westdene , Bloemfontein, 9301",N/A,SHERUSHA GOVENDER,govendsh@eskom.co.za,051-404-2043,051-404-2043,No,,,,No,No,,
"Electricity, gas, steam and air conditioning",8902,Maintenance of aircon chillers and spits units for Nkangala District Municipality buildings and satelite offices for the period of 36 months,18/08/2025,22/09/2025,Nkangala District Municipality,Request for Bid(Open-Tender),Mpumalanga,"2A Walter Sisulu Street, Nkangala District Municipality, Middelburg, Mpumalanga, 1050",N/A,Mr NM Motsweni,Mothweninm@nkangaladm.gov.za,013-249-2170,013-249-2000,Yes,Yes,,Physically at Nkangala District Municipality Building,No,No,,
Services: General,E1719NTCSAMWP,Supply and delivery of 950 Insulator Bird Shields (200 X Composite and 750 X Glass),18/08/2025,01/10/2025,ESKOM,Request for Bid(Open-Tender),Gauteng,"Cnr Power & Lake Road, simmerpan, Germiston, 1401",N/A,Rumani Tshivhandekano,tshivhr@ntcsa.co.za,013-296-3902,N/A,Yes,Yes,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjUzNmVlMzctNDlmNC00MTBiLThjYTUtYWIwMjNmNzM1M,Yes,No,,
Food and beverage service activities,WHAG RFP 2-2025,Request for Proposals: Offer to Lease – Museum Café,18/08/2025,19/09/2025,William Humphreys Art Gallery,Request for Proposal,Northern Cape,"1 Cullinan Crescent, Kimberley, Kimberley, 8301",N/A,Mpho Matsitle,mpho@whag.co.za,053-831-1724,N/A,Yes,2025-08-26T10:00:00,,William Humphreys Art Gallery,Yes,No,,
Telecommunications,E1215CXMWPR,"SUPPLY, DELIVERY AND INSTALLATION OF AN OUTDOOR DIGITAL SIGN BOARD (65-INCH OUTDOOR LED DIGITAL DISPLAY MEDIA PLAYER) FOR RESEARCH TESTING AND DEVELOPMENT (RT&D) AT ESKOM RESEARCH AND INNOVATION CENTRE (ERIC) BUILDING AT ROSHERVILLE.",18/08/2025,29/09/2025,ESKOM,Request for Bid(Open-Tender),Gauteng,"Tenders are uploaded via Eskom Tender bulletin site on the Eskom E- tendering page, Rocherville, Rosherville",N/A,Letsibogo Mahlatji,MahlatLN@eskom.co.za,017-749-5694,N/A,Yes,2025-09-05T10:00:00,,MS Teams,Yes,No,,
Specialised construction activities,1KM THN CONTRACTOR - 2025/08/003,APPOINTMENT OF A SERVICE PROVIDER (CONTRACTOR) FOR MASILO/THEUNISSEN CONSTRUCTION OF 1KM PAVED ROADS AND STORMWATER CHANNEL IN TSHEPONG,18/08/2025,26/09/2025,Masilonyana local municipality,Request for Bid(Open-Tender),Free State,"47 Le Roux Street, Theunissen, Theunissen, 9410",Please note that the tender document will be available after the briefing session.,Sejane Matobako,smatobako@masilonyana.co.za,077-388-9878,N/A,Yes,Yes,,Theunissen Town Hall,No,No,,
Supplies: Clothing/Textiles/Footwear,RT59-2026,SUPPLY AND DELIVERY OF FOOTWEAR AND LEATHER PRODUCTS TO THE STATE FOR THE PERIOD OF THIRTY-SIX (36) MONTHS,18/08/2025,19/09/2025,National Treasury,Request for Bid(Open-Tender),National,"40 CHURCH SQUARE, NATIONAL TREASURY, PRETORIA, TSHWANE, 0001",NB: Bidders must take note of the exemption letter turnaround time is 48hrs for DTIC to process the exemption request(s). Bidders are advised not to wait for the day of tender to adhere to the above note.,DEMAND.ACQUISITION1,DEMAND.ACQUISITION1@TREASURY.GOV.ZA,012-315-5834,N/A,Yes,2025-08-29T10:00:00,,https://teams.microsoft.com/l/meetup-join/19%3ameeting_NzIxNDlmZTktN2VmOC00YWEyLTlmNjgtMWUzZDIxNThhY,Yes,No,,
Administrative and support activities,NKO:38/2024,"RE-ADVERT FOR REQUEST FOR PROPOSALS OF ACCREDITED SERVICE PROVIDERS TO OFFER SKILLS PROGRAMMES TRAINING, SKILLS AUDIT, CONDUCTING OF PROFESSIONAL RESEACH STUDIES FOR NKOMAZI LOCAL MUNICIPALITY FOR A PERIOD OF THIRTY-SIX (36) MONTHS",18/08/2025,30/09/2025,Nkomazi Local Municipality,Request for Bid(Open-Tender),Mpumalanga,"9 Park Street, Malalane, Malalane, 1320",N/A,Mr R Mabuza,Richard.Mabuza@nkomazi.gov.za,013-790-0245,N/A,Yes,2025-08-29T10:00:00,,"Municipal Town Hall (Kobwa), Fish Eagle, Malalane",No,No,,
Services: Building,E1429GXWCKBG_Bidders,Publication of Bidders name,18/08/2025,26/09/2025,ESKOM,Participation,Western Cape,"R27 Offwest Coast Road, Melkbosstrand, Cape, 7441",N/A,Boniswa Mnene,MneneBD@eskom.co.za,021-522-3813,N/A,No,,,,No,No,,
Supplies: Electrical Equipment,SCM/MOH/06/2025,Appointment of a panel for supply and delivery of electricity material for a period of 3 years,17/08/2025,19/09/2025,Mohokare Local Municipality,Request for Bid(Open-Tender),Free State,"Hoofd Street, Zastron, Zastron, 9950",N/A,Mr. M Raboko,monehelaben@gmail.com,064-243-7842,051-673-1550,Yes,Yes,,ZASTRON TOWN HALL,No,No,,
Supplies: Electrical Equipment,SCM/MOH/07/2025,"Appointment of a panel for manufacturing, supply and delivery of electricity meters for a period of 3 years",17/08/2025,19/09/2025,Mohokare Local Municipality,Request for Bid(Open-Tender),Free State,"Hoofd Street, Zastron, Zastron, 9950",N/A,mr,monehelaben@gmail.com,064-243-7842,051-673-1550,Yes,Yes,,ZASTRON TOWN HALL,No,No,,
Construction,SCM/MOH/08/2025,Appointment of a service provider for electrification of 200 households(Smithfield),17/08/2025,26/09/2025,Mohokare Local Municipality,Request for Bid(Open-Tender),Free State,"SMITHFIELD COMMUNITY HALL, SMITHFIELD , SMITHFIELD, 9966",N/A,Mr. M Raboko,monehelaben@gmail.com,064-243-7842,051-673-1550,Yes,Yes,,SMITHFIELD TOWN HALL,No,No,,
Architectural and engineering activities; technical testing and analysis,SCM/MOH/09/2025,Appointment of a panel of engineering consultants for a period of 3 years,17/08/2025,26/09/2025,Mohokare Local Municipality,Request for Bid(Open-Tender),Free State,"Hoofd Street, Zastron, Zastron, 9950",N/A,Mr. S Shamase,mohokarepmu@gmail.com,074-085-3384,051-673-1550,Yes,Yes,,ZASTRON TOWN HALL,No,No,,
Civil engineering,SCM/MOH/10/2025,Appointment of a contractor for the Roleleyathunya/Rouxville: Construction of the Sportsground (Phase2),17/08/2025,26/09/2025,Mohokare Local Municipality,Request for Bid(Open-Tender),Free State,"ROUXVILLE COMMUNITY HALL, ROUXVILLE, ROUXVILLE, 9966",N/A,Mr. S Shamase,mohokarepmu@gmail.com,074-085-3384,051-673-1550,Yes,Yes,,ROUXVILLE COMMUNITY HALL,No,No,,
